date,CG-OPEN,CG-CLOSE,CON-OPEN,CON-CLOSE
1/20/2016,936216,940994,1870828,1878742
1/21/2016,940994,945415,1878902,1886438
1/22/2016,,,,
1/23/2016,,,,
1/24/2016,,,,
1/25/2016,945490,948442,1886438,1892720
1/26/2016,948442,953252,1892944,1901362
1/27/2016,953252,958201,1901626,1910378
1/28/2016,958201,962857,1910649,1918784
1/29/2016,962857,965986,1918995,1923674
1/30/2016,965986,966202,1923674,1925082
1/31/2016,966202,967227,1925082,1927669
2/1/2016,967227,972382,1927946,1936970
2/2/2016,972382,977775,1937292,1946670
2/3/2016,977775,982817,1946967,1955696
2/4/2016,982817,987716,1956046,1964610
2/5/2016,987716,990677,1964956,1969920
2/6/2016,990677,991339,1969920,1971410
2/7/2016,991339,992062,1971410,1973112
2/8/2016,992062,997132,1973278,1982224
2/9/2016,997132,1002458,1982586,1992275
2/10/2016,1002458,1007803,1992577,2002237
2/11/2016,1007803,1012743,2002511,2011195
2/12/2016,1012743,1015602,2011450,2016476
2/13/2016,1015602,1016168,2016476,2017767
2/14/2016,1016168,1016840,2017767,2019318
2/15/2016,,,,
2/16/2016,1016840,1021895,2019318,2028676
2/17/2016,1021895,1027280,2029065,2038204
2/18/2016,1027280,1031997,2038502,2046806
2/19/2016,1031997,1034687,2047061,2051638
2/20/2016,1034687,1035343,2051638,2053046
2/21/2016,1035343,1036478,2053046,2055723
2/22/2016,1036478,1041584,2056032,2065120
2/23/2016,1041584,1046553,2065472,2074592
2/24/2016,1046553,1051358,2074955,2083360
2/25/2016,1051358,1056177,2083704,2092261
2/26/2016,1056177,1058979,2092529,2097412
2/27/2016,1058979,1059686,2097412,2099021
2/28/2016,1059686,1061002,2099021,2102051
2/29/2016,1061002,1066501,2105875,2111868
3/1/2016,1066501,1071648,2112290,2122016
3/2/2016,1071648,1077118,2122436,2132295
3/3/2016,1077118,1081891,2132717,2141092
3/4/2016,1081891,1084085,2141277,2145134
3/5/2016,1084085,1084302,2145134,2145530
3/6/2016,1084302,1084465,2145530,2145854
